model_name,quantization,activation_precision,governor,prefill_len,decode_len,input_tokens,output_tokens,prefill_latency_s,decode_latency_s,prefill_tps,decode_tps,prefill_avg_power_w,decode_avg_power_w,prefill_energy_j,decode_energy_j,prefill_energy_per_token_in,decode_energy_per_token_out,prefill_tokens_per_s_per_w,decode_tokens_per_s_per_w,prefill_avg_cpu,prefill_peak_mem_gb,prefill_max_temp_c,prefill_freq_mean_mhz,prefill_freq_min_mhz,prefill_freq_max_mhz,prefill_throttled_any,decode_avg_cpu,decode_peak_mem_gb,decode_max_temp_c,decode_freq_mean_mhz,decode_freq_min_mhz,decode_freq_max_mhz,decode_throttled_any
SmolLM2-135M,None (Full Precision),32-bit,ondemand,2048,512,429,512,140.6007215976715,458.62859773635864,3.0511934442810476,1.1163717276398926,5.618124732949877,5.575642182001006,783.0727999999998,2548.7746500000026,1.8253445221445217,4.978075488281255,0.5430982025703397,0.20022298619586906,99.76954022988505,1.2285308837890625,87.3,1640.642213075862,1500.009472,2256.029184,True,99.79720689655173,1.2310791015625,87.8,1626.4990366896554,1500.009472,2311.034624,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,2048,128,429,128,156.3583788871765,112.15129828453064,2.7436969035701853,1.1413153655632307,5.558537463343108,5.525132738719832,867.2547000000004,613.7531,2.021572727272728,4.79494609375,0.493600505828025,0.20656795402668865,99.78580121703854,1.2253265380859375,87.3,1617.4761405273834,1500.009472,2256.022784,True,99.79064748201439,1.2253265380859375,87.8,1633.6695732489209,1500.009472,2256.03584,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,2048,512,429,309,139.3063440322876,307.52535247802734,3.079543885672349,1.0047952063466963,5.5262812865497075,5.520328814213982,764.1983,1695.6389999999997,1.7813480186480186,5.487504854368931,0.5572542775134487,0.18201727472456097,99.77197674418603,1.2277069091796875,87.8,1617.9676032,1500.009472,2256.022784,True,99.80864836872087,1.2277069091796875,87.3,1619.8709482920767,1500.009472,2256.03584,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,2048,512,429,268,138.33849000930786,261.83118176460266,3.101089219429354,1.0235602887090178,5.552812225969646,5.506583009489381,760.6369,1438.0283000000006,1.7730463869463868,5.365777238805973,0.5584718325114684,0.18587938962240966,99.76943127962085,1.2311859130859375,87.3,1608.2177481706162,1500.009472,2256.03584,True,99.82966706302021,1.2311859130859375,88.4,1635.1130117479192,1500.009472,2256.029184,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,2048,512,429,358,127.83991289138794,302.06180238723755,3.3557594830690785,1.185187922374411,5.543107123287671,5.523969649805448,704.4641999999997,1661.48015,1.6421076923076916,4.6410060055865925,0.6053932223266768,0.2145536629471078,99.7723870967742,1.2253265380859375,87.8,1617.2836794632258,1500.009472,2201.027328,True,99.83579487179486,1.227752685546875,87.8,1633.004612857436,1500.009472,2256.032768,True
SmolLM2-135M,INT4,32-bit,ondemand,256,128,119,129,35.47042226791382,105.77653980255127,3.354907903299651,1.219552088211611,5.631852631578948,5.480964585575888,192.18114999999997,576.3180500000002,1.6149676470588232,4.467581782945738,0.5957023599104844,0.2225068360085877,99.81205357142858,1.3566131591796875,87.3,1596.9066525714286,1500.009472,2256.019456,True,99.84956140350879,1.3621063232421875,87.8,1597.7789780584794,1500.009472,2201.030656,True
SmolLM2-135M,INT4,32-bit,ondemand,256,128,119,128,0.8841695785522461,112.24170088768005,134.58956617219582,1.1403961182670355,5.174677777777777,5.518100313479624,0.0,612.8127000000003,0.0,4.787599218750002,26.009265108289352,0.2066646225117137,100.0,1.3648529052734375,86.7,1607.6827093333334,1500.0128,2146.015616,True,99.82520891364902,1.3703460693359375,87.3,1630.8812969359333,1500.009472,2201.033984,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,2048,512,429,216,173.5174617767334,204.1310522556305,2.472373648203767,1.0581437640830176,5.542885873850198,5.501381016949153,952.2302500000002,1124.616899999999,2.219650932400933,5.2065597222222175,0.4460444801628953,0.19234147949814645,99.82053571428571,1.227813720703125,87.3,1602.7117329142857,1500.009472,2256.022784,True,99.84320798158096,1.227813720703125,87.3,1605.4831756868764,1500.009472,2256.026112,True
SmolLM2-135M,INT4,32-bit,ondemand,256,128,119,119,0.9347987174987793,98.10235404968262,127.3001318598358,1.2130188021760828,5.604071428571428,5.4683675990676,0.0,531.0381,0.0,4.462505042016806,22.71565119795176,0.22182466343025517,100.0,1.3723602294921875,86.7,1607.6854613333335,1500.016128,2146.015616,True,99.83987341772152,1.3723602294921875,87.3,1609.6723232405063,1500.009472,2256.026112,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,2048,512,429,282,158.57536149024963,267.97223353385925,2.7053383070886334,1.0523478357483194,5.496263570914326,5.478382569204152,864.2755499999997,1468.6249500000008,2.014628321678321,5.207889893617024,0.492214078197598,0.19209097255528004,99.83612204724409,1.2279815673828125,87.8,1607.487242456693,1500.009472,2256.019456,True,99.84102266124346,1.2279815673828125,87.8,1616.6934639116794,1500.009472,2256.032768,True
